NER_Text,Count,NER_Label
The Blockchain,1,MISC
Thanos,1,PER
Thankyou Print,1,ORG
ThanksALotProgrammingHub,1,MISC
Thane,1,LOC
Test Out IT Fundamentals Program,1,MISC
SwiftKey,1,MISC
"Swift,ruby",1,MISC
Svp,1,MISC
Shivaraj,1,PER
Slackskills,1,ORG
Siti Ibrahim,1,PER
Sirra Okk,1,PER
Simlle,1,ORG
Sidhu gadu,1,PER
Shop,1,ORG
Shlok,1,PER
Sher Gut,1,PER
Sushant,1,PER
Shell Script,1,MISC
Shao Khan,1,PER
Shandaar,1,PER
Shady,1,PER
Shabbash,1,ORG
Semma,1,ORG
Selenium,1,MISC
Smart,1,ORG
Solo-Learn,1,MISC
Sololearn.,1,MISC
Sololearns,1,ORG
Supev,1,PER
SuperBro,1,ORG
Super Mario,1,MISC
Steven J,1,PER
Steve Belair,1,PER
Stevahsys9x9,1,PER
Sterlinxvii,1,PER
Stepmania,1,MISC
Star Drop,1,MISC
Sri Lanka,1,LOC
Spring,1,MISC
Spidey,1,ORG
Sooper Dooper,1,MISC
Soocoll,1,ORG
Sony Phone,1,MISC
Tim,1,MISC
Tkinter,1,MISC
Tony Stank,1,PER
Visual Basic for Applications,1,MISC
Werry,1,ORG
Wao,1,PER
Wall Of Code,1,MISC
WATANIAH PBS,1,ORG
W3,1,MISC
Vvvvvvvnice,1,MISC
Visual Studio,1,MISC
Vietnamese,1,MISC
VILASJI LADDE Dhule,1,PER
Verve,1,ORG
Vera,1,PER
Veery,1,PER
Vedios,1,MISC
Valo,1,ORG
Valentine 's Day,1,MISC
Vairy,1,ORG
West,1,LOC
Whis,1,MISC
Wichita,1,LOC
Windows.Forms,1,MISC
Xp,1,MISC
Xml,1,MISC
Xioami Mi3,1,MISC
XNA Game Studio,1,ORG
Wsome,1,PER
Wright,1,PER
Woz - U,1,ORG
Worthy,1,PER
Words,1,MISC
WordPress,1,MISC
Wooo,1,PER
Woocommerce,1,MISC
Wondering,1,ORG
Wolfram Mathematica,1,MISC
Wo,1,ORG
Vadafone Smart First 6,1,MISC
VHDL,1,MISC
Tony stark,1,PER
Turkish,1,MISC
UI Riley,1,ORG
UCLA,1,ORG
U.S,1,LOC
U.I,1,MISC
Tyu,1,ORG
Ty,1,ORG
Tutorialpoint,1,ORG
Turing,1,PER
VB 6.0 Compiler,1,MISC
Turely,1,PER
TryPro,1,MISC
Trophy,1,MISC
Trontino Gaming,1,ORG
Trontino,1,ORG
Tqsm,1,ORG
Tos,1,MISC
UK,1,LOC
UNIX,1,MISC
USA,1,LOC
"USA,newyork",1,LOC
Uts,1,ORG
Urdu,1,MISC
Unreal Engine Game Development,1,MISC
Unix,1,MISC
University,1,ORG
UnityScript,1,MISC
Unity3D,1,MISC
Unity Game Development,1,MISC
Unity 3d,1,MISC
Unity 3D,1,MISC
Unity 2d,1,MISC
Ukrainian,1,MISC
Ui and Ux,1,MISC
Ubuntu,1,MISC
Ua,1,ORG
Nise,1,ORG
Mi,1,LOC
Ninja Xtreme,1,ORG
Commendable,1,ORG
Creative cub,1,ORG
Creative Cub,1,ORG
Craigslist,1,ORG
Covid19,1,ORG
Covid 19,1,MISC
CorelDraw Illustrator,1,MISC
Compyuta,1,ORG
College,1,ORG
Csharp,1,LOC
Colin D,1,PER
CodeCademy,1,MISC
Code academy,1,ORG
Code,1,MISC
Cobol,1,MISC
Christianity,1,MISC
Chinese,1,MISC
CreativeClub,1,ORG
Cuul,1,MISC
Charles mcneil,1,PER
DOS,1,MISC
Dark knight,1,MISC
Danko,1,LOC
