,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language
81,bbeb2f3e-64fc-4abe-819c-0b7498db604a,Jacobo Fernández-Jardón,https://play-lh.googleusercontent.com/a-/ACB-R5QMPCszSiTa07j77qIUzatomFS2hTbtfW8YDKaLWg,Recomendación mejorar el modo oscuro. Gracias.,5,1,1.14.0,2021-06-08 18:08:42,,,1.14.0,es
82,2b2ac201-8c77-4ab9-b969-f68fd720e6d5,Samantha Ossandon,https://play-lh.googleusercontent.com/a-/ACB-R5R8xwzB35BnwKfplZavibCmxIazEQHtlBxo62-H2g,"Nunca me funcionaron la actividades de elegir los tags que correspondan, tengo que seleccionar cualquier cosa y así equivocarme para poder continuar",2,4,1.14.0,2021-06-07 04:29:29,,,1.14.0,es
84,d9941221-8a05-456b-8739-fac8c04f7f41,Pablo Irigoin Silveira,https://play-lh.googleusercontent.com/a-/ACB-R5ToQYASaVnpscBaD0JSjcbnk0QYZdvM-KnSRzyDIQ,"Los ejercicios de tipo ""seleccionar el orden de los elementos"" no funcionan bien. En ocasiones una misma respuesta se coloca varias veces o no se visualizan en el orden en que uno las ingresa. Al final hay que ""equivocarse"" a propósito para poder continuar.",2,15,1.14.0,2021-06-04 02:15:09,,,1.14.0,es
85,ed0fe4b1-040b-443f-9eb8-21104575467f,Jair Castillo,https://play-lh.googleusercontent.com/a-/ACB-R5QrrvZ4cBqLTBgp1ZygKIJDsTY2fnCQbOrF-uMYfg,"Muy didáctica, muy buena app para aprender haciendo desde cero.",5,0,1.14.0,2021-06-02 06:46:18,,,1.14.0,es
86,b18386ce-761d-4d8a-bd54-d46007d5c8bf,Martín Fiscina,https://play-lh.googleusercontent.com/a-/ACB-R5SDut9ErdoTiMSGwnZN_-RFoGb20fOJYijgNl0WuA,falta traducir la app a español,2,0,1.14.0,2021-05-27 05:13:00,,,1.14.0,es
87,34b70a72-9ef6-4d39-9cef-2cbb16a9ae60,Edu Falcon,https://play-lh.googleusercontent.com/a-/ACB-R5Qc2A8k2BahUc8V4fGjJroJa6btRwFzNGf8slz0HQ,No se puede hacer lo mismo que en el sitio web,2,0,1.14.0,2021-05-23 05:27:57,,,1.14.0,es
88,bb63443b-1b13-4132-88ee-8f9e011a069f,Raul Ibanez,https://play-lh.googleusercontent.com/a-/ACB-R5QAv0VAyRF9ZSBLhsE3gcQPbGq3xbTkWlB1fRA_PQ,excelente aplicacion.,5,0,1.14.0,2021-05-13 05:27:31,,,1.14.0,es
90,e311c1e3-a164-45da-93a8-bbd08aff6dbe,Facundo González Batalla,https://play-lh.googleusercontent.com/a-/ACB-R5St3OENyKQJMdaZc-O3Ezt1rzryYisLdCtR46rTKA,Me encanta,5,0,1.14.0,2021-04-28 22:53:22,,,1.14.0,es
91,25b12ccb-dc74-48cf-8c3b-410a651f5d03,jorge perez,https://play-lh.googleusercontent.com/a-/ACB-R5Skx2P1Yvgw9T3RpXAvTd6ejuPh75eWvWmEXwVY,"La mejor app para programar, con múltiples lenguajes",5,0,1.14.0,2021-04-22 22:27:11,,,1.14.0,es
92,698498fb-23f4-4035-ab34-41f1cdad4710,ian kraan,https://play-lh.googleusercontent.com/a/AGNmyxbKPnWamZYfjVYeKP1NNurdRKp1GwAK0x-j6fly=mo,bueno para practicar,5,0,1.14.0,2021-04-19 02:06:53,,,1.14.0,es
